split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,pipeline,params
0.7464981273408238,0.7298439450686641,0.7424843945068663,0.7503183520599251,0.7365043695380774,0.7530337078651685,0.7580337078651684,0.7358426966292134,0.7481023720349562,0.7353370786516853,TC02_20news+all-MiniLM-L6-v2+LR,{'C': 0.1}
0.8448751560549314,0.813789013732834,0.8086516853932585,0.8287265917602997,0.8104556803995007,0.8258302122347067,0.8258801498127342,0.8354057428214731,0.8143133583021223,0.8276279650436953,TC02_20news+all-MiniLM-L6-v2+KNN,"{'weights': 'distance', 'p': 1, 'n_neighbors': 3}"
0.78541822721598,0.7615106117353309,0.7674843945068665,0.7847877652933832,0.7726342072409488,0.7864232209737827,0.7875530586766543,0.7730961298377028,0.7747627965043696,0.788701622971286,TC02_20news+all-MiniLM-L6-v2+LR,{'C': 10}
0.7815230961298376,0.7576342072409489,0.7708302122347066,0.7864794007490638,0.7698564294631709,0.7819600499375781,0.7942446941323347,0.7681273408239699,0.7792446941323345,0.7853870162297129,TC02_20news+all-MiniLM-L6-v2+SVC,{'C': 1}
0.8226529338327092,0.8143383270911361,0.8097315855181023,0.8242696629213484,0.8193071161048688,0.8208988764044944,0.8175717852684145,0.8298439450686642,0.8170786516853934,0.8220973782771533,TC02_20news+all-MiniLM-L12-v2+KNN,"{'weights': 'distance', 'p': 1, 'n_neighbors': 3}"
0.7809550561797752,0.7759925093632959,0.7719350811485642,0.7625405742821474,0.7731960049937578,0.7652621722846442,0.7792134831460675,0.7742009987515606,0.774176029962547,0.7647627965043695,TC02_20news+all-MiniLM-L12-v2+LR,{'C': 10}
0.774856429463171,0.7748813982521847,0.7741385767790262,0.7753433208489389,0.77374531835206,0.7758426966292135,0.7814357053682898,0.7786704119850187,0.7719850187265919,0.7675780274656678,TC02_20news+all-MiniLM-L12-v2+SVC,{'C': 1}
0.7675066046284089,0.7527240162363177,0.7418391714399851,0.7282555187786994,0.7413072998553564,0.7534136396624834,0.7585690463872999,0.7528843008549679,0.7383137079174472,0.7536315561371614,TC14_wos+all-MiniLM-L6-v2+KNN,"{'weights': 'distance', 'p': 2, 'n_neighbors': 11}"
0.7923785844396137,0.7921231576939762,0.7798480644982112,0.760539453335153,0.775306451021392,0.7812497745310034,0.7958344754391983,0.7644150995642606,0.7705710719150564,0.7908587618677464,TC14_wos+all-MiniLM-L6-v2+LR,{'C': 1}
0.7940992002054914,0.7964510740874007,0.7801865524124061,0.7679297525354534,0.7763526721814942,0.7826744400075688,0.8004377786819067,0.7640818603547802,0.771375957811505,0.7895383904893236,TC14_wos+all-MiniLM-L6-v2+SVC,{'C': 0.1}
0.7489233377382063,0.7383457602816377,0.7231956214989969,0.7163577649319427,0.7299231681738545,0.729254387647273,0.7344342122428856,0.7342366815220711,0.7187627507369803,0.723166110206557,TC14_wos+all-MiniLM-L12-v2+KNN,"{'weights': 'distance', 'p': 2, 'n_neighbors': 11}"
0.7771048859582727,0.7666935592384782,0.7622465058392206,0.7483483077477276,0.7595597996942489,0.7547738141933862,0.7660017950282773,0.7531455143291411,0.7610094874106494,0.7532098422493417,TC14_wos+all-MiniLM-L12-v2+LR,{'C': 1}
0.7718745517294434,0.7717984923364899,0.7571156817119865,0.748362851423767,0.7553767689227033,0.7509241297030701,0.7708364746877491,0.7525911600338169,0.7512343854984508,0.7551979152940752,TC14_wos+all-MiniLM-L12-v2+SVC,{'C': 0.1}
0.7481523096129836,0.7492821473158553,0.7497440699126092,0.7497877652933833,0.748701622971286,0.7618102372034957,0.7541822721598003,0.7724219725343321,0.750749063670412,0.7490886392009987,TC02_20news+TDIDF+KNN,"{'kneighborsclassifier__weights': 'uniform', 'kneighborsclassifier__p': 2, 'kneighborsclassifier__n_neighbors': 51}"
0.7754369538077402,0.7909987515605493,0.7909051186017477,0.7887265917602997,0.7887453183520599,0.7791697877652934,0.7814794007490637,0.8081398252184769,0.7948876404494383,0.7686766541822723,TC02_20news+TDIDF+LR,{'logisticregression__C': 0.1}
0.8415855181023719,0.8516042446941325,0.8620287141073659,0.8571348314606742,0.8549313358302122,0.8525842696629213,0.8537702871410737,0.8615605493133582,0.8487890137328339,0.8498689138576779,TC02_20news+TDIDF+SVC,{'linearsvc__C': 1}
0.6799173575473195,0.7186403421017363,0.7080372037030748,0.6929552140344722,0.7190041789180458,0.7135041292199116,0.6853555909453118,0.6948013330311935,0.7099013285861167,0.6938584506440377,TC14_wos+TDIDF+KNN,"{'kneighborsclassifier__weights': 'distance', 'kneighborsclassifier__p': 2, 'kneighborsclassifier__n_neighbors': 201}"
0.8081588538470068,0.8419524649827529,0.8105006260980949,0.833716871572489,0.8373433062544268,0.8160188085989414,0.8003565644232519,0.8013114144358171,0.8367522248533529,0.8058106615858815,TC14_wos+TDIDF+LR,{'logisticregression__C': 10}
0.8255261893143331,0.8396493113789983,0.8120135056811498,0.8305556829211507,0.848779359390818,0.8283121414936214,0.8056872601054452,0.8019575041389906,0.8352299400858306,0.8112924491774207,TC14_wos+TDIDF+SVC,{'linearsvc__C': 1}
0.7787827715355805,0.7532022471910113,0.7524968789013734,0.7625655430711611,0.7648626716604244,0.7658177278401997,0.7724968789013733,0.7675405742821473,0.763689138576779,0.7614669163545569,TC02_20news+all-MiniLM-L6-v2+RF,{'n_estimators': 200}
0.8343508114856428,0.8432709113607991,0.8520287141073657,0.8482334581772785,0.8465917602996255,0.8453558052434458,0.8382022471910113,0.8509987515605493,0.8443383270911362,0.838183520599251,TC02_20news+TDIDF+LR,{'logisticregression__C': 10}
0.7826654182272159,0.7759925093632959,0.7569163545568041,0.7714169787765294,0.7843196004993759,0.7786142322097379,0.7697627965043696,0.7786641697877654,0.7531585518102373,0.7598064918851436,TC02_20news+all-MiniLM-L12-v2+RF,{'n_estimators': 200}
0.7815480649188514,0.7865792759051187,0.7991822721598003,0.7981710362047442,0.7831897627965044,0.7724843945068665,0.7720599250936331,0.8014981273408239,0.785980024968789,0.7859363295880151,TC02_20news+TDIDF+RF,{'randomforestclassifier__n_estimators': 100}
0.7503039483353202,0.7351344848733282,0.7269647516677658,0.7214236769687875,0.7216280043065215,0.7444657233967997,0.7411772531064711,0.7331352779092732,0.7101497883254977,0.72792721478886,TC14_wos+all-MiniLM-L6-v2+RF,{'n_estimators': 200}
0.7366901661724322,0.7284559784620313,0.7169630145065533,0.702301549780642,0.7027695714042722,0.712680817808172,0.7325113174598377,0.7077397159689808,0.7020086795182151,0.7180480058367034,TC14_wos+all-MiniLM-L12-v2+RF,{'n_estimators': 200}
